paciente_endereco_nmMunicipio,paciente_endereco_uf,Qtd_Vacinas,Etiqueta_Classificacao
ORIZANIA,MG,12,Baixa Vacinação
PIAU,MG,5,Baixa Vacinação
PARAIBANO,MA,729,Alta Vacinação
CONCORDIA,SC,528,Alta Vacinação
CRUZILIA,MG,563,Alta Vacinação
PALESTINA DO PARA,PA,9,Baixa Vacinação
CAMBE,PR,1183,Alta Vacinação
ANTA GORDA,RS,8,Baixa Vacinação
SANTO EXPEDITO DO SUL,RS,2,Baixa Vacinação
NOSSA SENHORA DA GLORIA,SE,546,Alta Vacinação
SOUTO SOARES,BA,1241,Alta Vacinação
VERE,PR,11,Baixa Vacinação
TROMBUDO CENTRAL,SC,14,Baixa Vacinação
SANTA TEREZA DE GOIAS,GO,14,Baixa Vacinação
LUCIANOPOLIS,SP,1457,Alta Vacinação
REMIGIO,PB,901,Alta Vacinação
FILADELFIA,TO,20,Baixa Vacinação
AREIA,PB,597,Alta Vacinação
APERIBE,RJ,14,Baixa Vacinação
JANGADA,MT,13,Baixa Vacinação
RIBEIRAO CLARO,PR,596,Alta Vacinação
CANDANGOLANDIA,DF,1,Baixa Vacinação
BARRETOS,SP,70210,Alta Vacinação
PORTO XAVIER,RS,18,Baixa Vacinação
SÃO PAULO,None,1,Baixa Vacinação
LIVRAMENTO DE NOSSA SENHORA,BA,1526,Alta Vacinação
SANTA MARIA MADALENA,RJ,12,Baixa Vacinação
TATUI,SP,79612,Alta Vacinação
FLORIANO,PI,856,Alta Vacinação
IMPERATRIZ,MA,1492,Alta Vacinação
ALVINLANDIA,SP,1854,Alta Vacinação
CUNHATAI,SC,1,Baixa Vacinação
GUAMIRANGA,PR,16,Baixa Vacinação
TANGARA,SC,20,Baixa Vacinação
MEDEIROS,MG,11,Baixa Vacinação
IEPE,SP,5598,Alta Vacinação
ANHEMBI,SP,3727,Alta Vacinação
RIO MANSO,MG,5,Baixa Vacinação
BARRETOS,None,1,Baixa Vacinação
ROQUE GONZALES,RS,12,Baixa Vacinação
BONFINOPOLIS DE MINAS,MG,6,Baixa Vacinação
GABRIEL MONTEIRO,SP,2572,Alta Vacinação
GUARANESIA,MG,818,Alta Vacinação
ANTONIO OLINTO,PR,11,Baixa Vacinação
Bengi,SP,1,Baixa Vacinação
CAETITE,BA,1366,Alta Vacinação
LINDOESTE,PR,14,Baixa Vacinação
MANFRINOPOLIS,PR,2,Baixa Vacinação
BADY BASSITT,SP,16314,Alta Vacinação
PARAGUAI,None,1,Baixa Vacinação
REMANSO,BA,1322,Alta Vacinação
RIO DAS PEDRAS,SP,18878,Alta Vacinação
MACAMBARA,RS,3,Baixa Vacinação
TUFILANDIA,MA,14,Baixa Vacinação
GENERAL MAYNARD,SE,20,Baixa Vacinação
SAO FERNANDO,RN,8,Baixa Vacinação
AMERICO DE CAMPOS,SP,4670,Alta Vacinação
NOVA MARILANDIA,MT,21,Baixa Vacinação
GURJAO,PB,17,Baixa Vacinação
MIRAGUAI,RS,2,Baixa Vacinação
CHAPADA DO NORTE,MG,1317,Alta Vacinação
CIDADE DO LESTE,"",1,Baixa Vacinação
PLANALTO,RS,21,Baixa Vacinação
NOVA INDEPENDENCIA,SP,4238,Alta Vacinação
FAROL,PR,18,Baixa Vacinação
OURO VERDE DE GOIAS,GO,3,Baixa Vacinação
ADELANDIA,GO,8,Baixa Vacinação
BURITINOPOLIS,GO,6,Baixa Vacinação
PEREIRA BARETO,"",1,Baixa Vacinação
FATIMA,TO,8,Baixa Vacinação
PINHAL GRANDE,RS,7,Baixa Vacinação
SAO JOAO DO CARU,MA,20,Baixa Vacinação
ITAPIRANGA,AM,11,Baixa Vacinação
ESPINOSA,MG,1378,Alta Vacinação
SAO MARTINHO DA SERRA,RS,3,Baixa Vacinação
AGUA FRIA DE GOIAS,GO,12,Baixa Vacinação
ESTRELA DO INDAIA,MG,8,Baixa Vacinação
AREIOPOLIS,SP,7252,Alta Vacinação
CARATINGA,MG,628,Alta Vacinação
UNIAO DA SERRA,RS,1,Baixa Vacinação
CAMPINA GRANDE,PB,3148,Alta Vacinação
HARMONIA,RS,11,Baixa Vacinação
JACUIZINHO,RS,2,Baixa Vacinação
NOVA GUATAPORANGA,SP,2096,Alta Vacinação
FORTALEZA,CE,12675,Alta Vacinação
PONGAI,SP,2472,Alta Vacinação
SAO PEDRO DE ALCANTARA,SC,21,Baixa Vacinação
FORTUNA DE MINAS,MG,14,Baixa Vacinação
DELFINOPOLIS,MG,786,Alta Vacinação
CATANDUVA,SP,64760,Alta Vacinação
RENASCENCA,PR,10,Baixa Vacinação
IBICARAI,BA,1122,Alta Vacinação
QUIXELO,CE,722,Alta Vacinação
SAO JOAO DO ARAGUAIA,PA,26,Baixa Vacinação
GLICERIO,SP,2893,Alta Vacinação
BOA VISTA DAS MISSOES,RS,3,Baixa Vacinação
LINS,SP,45647,Alta Vacinação
PORTO VELHO,RO,2736,Alta Vacinação
XIQUE-XIQUE,BA,2313,Alta Vacinação
SERRINHA,BA,745,Alta Vacinação
LAGOA BONITA DO SUL,RS,4,Baixa Vacinação
MONDAI,SC,25,Baixa Vacinação
TUPARENDI,RS,13,Baixa Vacinação
RIBEIRAO PRETO,SP,434898,Alta Vacinação
"",BA,5,Baixa Vacinação
ALAGOINHAS,BA,1418,Alta Vacinação
RAFARD,SP,6930,Alta Vacinação
CAMPO BONITO,PR,6,Baixa Vacinação
