paciente_endereco_nmMunicipio,paciente_endereco_uf,Qtd_Vacinas,Etiqueta_Classificacao
RIBEIRAO DOS INDIOS,SP,1540,Alta Vacinação
PALMACIA,CE,16,Baixa Vacinação
PROFESSOR JAMIL,GO,7,Baixa Vacinação
FAZENDA VILANOVA,RS,5,Baixa Vacinação
RECURSOLANDIA,TO,3,Baixa Vacinação
POUSO NOVO,RS,7,Baixa Vacinação
PICADA CAFE,RS,7,Baixa Vacinação
POCOS DE CALDAS,MG,8046,Alta Vacinação
IGARACU DO TIETE,SP,25973,Alta Vacinação
JUNDIA,RN,26,Baixa Vacinação
LENCOIS PAULISTA,SP,35547,Alta Vacinação
PORTO LUCENA,RS,5,Baixa Vacinação
BELA VISTA DE MINAS,MG,22,Baixa Vacinação
BOA VISTA DO INCRA,RS,3,Baixa Vacinação
PINHAL,RS,8,Baixa Vacinação
PIRACICABA,SP,242329,Alta Vacinação
MANAUS,AM,9836,Alta Vacinação
SANTA CRUZ DO XINGU,MT,15,Baixa Vacinação
ESTACAO,RS,11,Baixa Vacinação
BIRITIBA-MIRIM,SP,18734,Alta Vacinação
ANDRE DA ROCHA,RS,3,Baixa Vacinação
ESPLANADA,BA,714,Alta Vacinação
SAO JOAO DO MANTENINHA,MG,20,Baixa Vacinação
PLATINA,SP,2082,Alta Vacinação
LABREA,AM,18,Baixa Vacinação
RIOZINHO,RS,9,Baixa Vacinação
HULHA NEGRA,RS,4,Baixa Vacinação
QUITERIANOPOLIS,CE,516,Alta Vacinação
SENADOR SALGADO FILHO,RS,1,Baixa Vacinação
GOVERNADOR LINDENBERG,ES,26,Baixa Vacinação
ALTO PARAGUAI,MT,14,Baixa Vacinação
SAO JOSE DO CERRITO,SC,8,Baixa Vacinação
PORTO MAUA,RS,1,Baixa Vacinação
CORONEL DOMINGOS SOARES,PR,13,Baixa Vacinação
ASSIS BRASIL,AC,12,Baixa Vacinação
QUELUZ,SP,5228,Alta Vacinação
ALVARO DE CARVALHO,SP,3282,Alta Vacinação
SANTANA DE PIRAPAMA,MG,23,Baixa Vacinação
PONTE ALTA,SC,9,Baixa Vacinação
AGUA BRANCA,PB,615,Alta Vacinação
ANAMA,AM,6,Baixa Vacinação
SEBASTIAO LEAL,PI,14,Baixa Vacinação
BOA VISTA DO RAMOS,AM,7,Baixa Vacinação
SAO SEBASTIAO DA BOA VISTA,PA,16,Baixa Vacinação
LAJES,RN,17,Baixa Vacinação
MAIRINQUE,SP,29895,Alta Vacinação
COLINAS,RS,4,Baixa Vacinação
SANTA CRUZ CABRALIA,BA,511,Alta Vacinação
BEZERROS,PE,550,Alta Vacinação
MARA ROSA,GO,26,Baixa Vacinação
SAO FRANCISCO,MG,1025,Alta Vacinação
BENTO DE ABREU,SP,1784,Alta Vacinação
SAO GONCALO DO AMARANTE,RN,519,Alta Vacinação
FORTALEZA DO TABOCAO,TO,15,Baixa Vacinação
NOVO PLANALTO,GO,10,Baixa Vacinação
CICERO DANTAS,BA,1103,Alta Vacinação
IVORA,RS,4,Baixa Vacinação
JAPURA,AM,4,Baixa Vacinação
RONDINHA,RS,21,Baixa Vacinação
CRISTAL DO SUL,RS,8,Baixa Vacinação
SAO JOSE DAS PALMEIRAS,PR,20,Baixa Vacinação
ITAPOLIS,SP,23086,Alta Vacinação
RIO DA CONCEICAO,TO,2,Baixa Vacinação
PARNAIBA,PI,1031,Alta Vacinação
PRAIA GRANDE,SP,147440,Alta Vacinação
TEIXEIROPOLIS,RO,12,Baixa Vacinação
COQUEIRO BAIXO,RS,2,Baixa Vacinação
DIAS D'AVILA,BA,1696,Alta Vacinação
VISTA ALEGRE DO ALTO,SP,5153,Alta Vacinação
VARJAO,GO,8,Baixa Vacinação
GUARA,SP,11944,Alta Vacinação
PRIMAVERA DO LESTE,MT,535,Alta Vacinação
LUZIANIA,GO,863,Alta Vacinação
RIACHINHO,MG,14,Baixa Vacinação
NOVA ALIANCA DO IVAI,PR,7,Baixa Vacinação
CORDEIROS,BA,844,Alta Vacinação
GAVIAO PEIXOTO,SP,3424,Alta Vacinação
MAJOR GERCINO,SC,14,Baixa Vacinação
SANTO ANTONIO DO ICA,AM,11,Baixa Vacinação
MOSSAMEDES,GO,13,Baixa Vacinação
BARRA DO MENDES,BA,868,Alta Vacinação
ACRELANDIA,None,1,Baixa Vacinação
MARIOPOLIS,PR,21,Baixa Vacinação
TIMON,MA,963,Alta Vacinação
ALVORADA DO NORTE,GO,21,Baixa Vacinação
RIO AZUL,PR,17,Baixa Vacinação
PIRAPOZINHO,SP,18163,Alta Vacinação
OLIVEIRA DE FATIMA,TO,6,Baixa Vacinação
DAMIANOPOLIS,GO,2,Baixa Vacinação
JUPIA,SC,9,Baixa Vacinação
SETE BARRAS,SP,8171,Alta Vacinação
BARREIRAS,BA,923,Alta Vacinação
ESTRELA DO NORTE,GO,2,Baixa Vacinação
DOM MACEDO COSTA,BA,24,Baixa Vacinação
SERRA ALTA,SC,7,Baixa Vacinação
PALMARES PAULISTA,SP,6031,Alta Vacinação
ITAPEVA,MG,911,Alta Vacinação
CACULE,BA,783,Alta Vacinação
SATIRO DIAS,BA,676,Alta Vacinação
JACAREZINHO,PR,1649,Alta Vacinação
BARAO DE MELGACO,MT,11,Baixa Vacinação
BONOPOLIS,GO,7,Baixa Vacinação
SANTA CLARA D'OESTE,SP,2171,Alta Vacinação
JANDIRA,SP,64207,Alta Vacinação
CAMBARA,PR,772,Alta Vacinação
MANOEL VIANA,RS,5,Baixa Vacinação
ITUVERAVA,SP,26085,Alta Vacinação
SERRANA,SP,21087,Alta Vacinação
CANUTAMA,AM,3,Baixa Vacinação
DUARTINA,SP,10724,Alta Vacinação
ALTINOPOLIS,SP,12963,Alta Vacinação
CAMPOS SALES,CE,716,Alta Vacinação
SANTA ROSA DA SERRA,MG,20,Baixa Vacinação
BARRA FUNDA,RS,2,Baixa Vacinação
NOVA ALVORADA,RS,3,Baixa Vacinação
RIO ESPERA,MG,17,Baixa Vacinação
SAO JOSE DO BARREIRO,SP,2405,Alta Vacinação
PINTO BANDEIRA,RS,3,Baixa Vacinação
GUARAPUAVA,PR,720,Alta Vacinação
REGENTE FEIJO,SP,14438,Alta Vacinação
CAMPINA DAS MISSOES,RS,5,Baixa Vacinação
DOM JOAQUIM,MG,13,Baixa Vacinação
LINDOIA,SP,3618,Alta Vacinação
RIO GRANDE DA SERRA,SP,23957,Alta Vacinação
CRISOPOLIS,BA,1351,Alta Vacinação
PINHEIRO MACHADO,RS,18,Baixa Vacinação
LIZARDA,TO,3,Baixa Vacinação
ARAGUARI,MG,763,Alta Vacinação
CAMPO BELO,MG,799,Alta Vacinação
HERCULANDIA,SP,6482,Alta Vacinação
CACOAL,RO,521,Alta Vacinação
BRODOWSKI,SP,13815,Alta Vacinação
CHAPADAO DO SUL,MS,1041,Alta Vacinação
RIBEIRAO PIRES,SP,77403,Alta Vacinação
SAO MANUEL,SP,25616,Alta Vacinação
SAO JOSE DO RIO PRETO,SP,260174,Alta Vacinação
SAO PAULO,SP,8010892,Alta Vacinação
MARQUINHO,PR,3,Baixa Vacinação
SANTO ANASTACIO,SP,12317,Alta Vacinação
IBIRAREMA,SP,3323,Alta Vacinação
SAO JOSE DOS AUSENTES,RS,21,Baixa Vacinação
CORONEL BICACO,RS,10,Baixa Vacinação
OSVALDO CRUZ,SP,18871,Alta Vacinação
RIO DE CONTAS,BA,660,Alta Vacinação
NOVA ROSALANDIA,TO,16,Baixa Vacinação
APARECIDA DE GOIANIA,GO,2067,Alta Vacinação
CAMPESTRE DE GOIAS,GO,11,Baixa Vacinação
RIACHAO DO BACAMARTE,PB,13,Baixa Vacinação
BOM PRINCIPIO,RS,17,Baixa Vacinação
TORRE DE PEDRA,SP,2181,Alta Vacinação
CASSIA DOS COQUEIROS,SP,2240,Alta Vacinação
URUANA DE MINAS,MG,18,Baixa Vacinação
FRANCO DA ROCHA,None,2,Baixa Vacinação
COSMOPOLIS,SP,35841,Alta Vacinação
GASTAO VIDIGAL,SP,2799,Alta Vacinação
CARRASCO BONITO,TO,25,Baixa Vacinação
JEQUIE,BA,4174,Alta Vacinação
MOJ MIRIM,None,1,Baixa Vacinação
VARGEAO,SC,1,Baixa Vacinação
BOITUVA,SP,31164,Alta Vacinação
PIRANGI,SP,6743,Alta Vacinação
SERTAO,RS,9,Baixa Vacinação
SAO FRANCISCO DE ASSIS,RS,8,Baixa Vacinação
TUNAS,RS,2,Baixa Vacinação
CUBATAO - SP,"",2,Baixa Vacinação
SANTA TEREZINHA DO PROGRESSO,SC,13,Baixa Vacinação
MACARANI,BA,611,Alta Vacinação
AGUDO,RS,18,Baixa Vacinação
ARAXA,MG,1014,Alta Vacinação
MATO CASTELHANO,RS,1,Baixa Vacinação
IRAPURU,SP,4390,Alta Vacinação
JEREMOABO,BA,1166,Alta Vacinação
BOM PROGRESSO,RS,4,Baixa Vacinação
ENTRE-IJUIS,RS,5,Baixa Vacinação
NITEROI,RJ,3665,Alta Vacinação
JULIO DE CASTILHOS,RS,24,Baixa Vacinação
SAMBAIBA,MA,6,Baixa Vacinação
SERRA DO NAVIO,AP,5,Baixa Vacinação
NOVA EUROPA,SP,6552,Alta Vacinação
BORDA DA MATA,MG,564,Alta Vacinação
FREI ROGERIO,SC,3,Baixa Vacinação
PIUM,TO,24,Baixa Vacinação
AGUAS VERMELHAS,MG,520,Alta Vacinação
JARDIM DE ANGICOS,RN,3,Baixa Vacinação
IPUA,SP,10925,Alta Vacinação
PETROLINA,PE,2645,Alta Vacinação
PIRAQUARA,PR,618,Alta Vacinação
PONTA DE PEDRAS,PA,19,Baixa Vacinação
SERRA,ES,2535,Alta Vacinação
CARDOSO MOREIRA,RJ,25,Baixa Vacinação
GUZOLANDIA,SP,2557,Alta Vacinação
SENHORA DO PORTO,MG,4,Baixa Vacinação
CAMPINA DO MONTE ALEGRE,SP,4170,Alta Vacinação
COLARES,PA,25,Baixa Vacinação
TANGARA DA SERRA,MT,833,Alta Vacinação
MOGI DAS CRUZES,SP,315531,Alta Vacinação
CERQUILHO,SP,33193,Alta Vacinação
ARAPUA,MG,8,Baixa Vacinação
AVANHANDAVA,SP,6310,Alta Vacinação
SAO JOSE DO BREJO DO CRUZ,PB,2,Baixa Vacinação
FRANCA,None,1,Baixa Vacinação
CARNAIBA,PE,870,Alta Vacinação
MAGE,RJ,679,Alta Vacinação
IPIRANGA,PR,24,Baixa Vacinação
OLIVEDOS,PB,22,Baixa Vacinação
ITAVERAVA,MG,26,Baixa Vacinação
MONTE BELO DO SUL,RS,2,Baixa Vacinação
MULUNGU,PB,15,Baixa Vacinação
TRES FORQUILHAS,RS,3,Baixa Vacinação
GRAVATAL,SC,22,Baixa Vacinação
TRABIJU,SP,1465,Alta Vacinação
ILHEUS,BA,4558,Alta Vacinação
BELMONTE,SC,16,Baixa Vacinação
NAVIRAI,MS,573,Alta Vacinação
INDIANA,SP,3562,Alta Vacinação
AFOGADOS DA INGAZEIRA,PE,1346,Alta Vacinação
BILAC,SP,4473,Alta Vacinação
PINDAMONHANGABA SP,None,1,Baixa Vacinação
NOVA CAMPINA,SP,7508,Alta Vacinação
SOUSA,PB,1293,Alta Vacinação
BOM JESUS DO AMPARO,MG,4,Baixa Vacinação
SANTO AFONSO,MT,8,Baixa Vacinação
MONTE ALTO,SP,28558,Alta Vacinação
FRANCO DA ROCHA,SP,109113,Alta Vacinação
SANTA LUCIA,SP,5410,Alta Vacinação
PIRATININGA,SP,11219,Alta Vacinação
FORMOSO,GO,22,Baixa Vacinação
SANTANA DO CARIRI,CE,556,Alta Vacinação
BOM RETIRO,SC,12,Baixa Vacinação
ARACITABA,MG,22,Baixa Vacinação
DOURADOS,MS,2571,Alta Vacinação
MACHADO,MG,605,Alta Vacinação
FARTURA,SP,11960,Alta Vacinação
CAMBORIU,SC,810,Alta Vacinação
PANCAS,ES,21,Baixa Vacinação
AGUIARNOPOLIS,TO,19,Baixa Vacinação
ILOPOLIS,RS,10,Baixa Vacinação
PRESIDENTE PRUDENTE,SP,130348,Alta Vacinação
CAPAO ALTO,SC,2,Baixa Vacinação
NOVA BASSANO,RS,25,Baixa Vacinação
SAO BENTO DO SAPUCAI,SP,7821,Alta Vacinação
ARAL MOREIRA,MS,22,Baixa Vacinação
SANTA TEREZINHA DO TOCANTINS,TO,10,Baixa Vacinação
CONDEUBA,BA,1504,Alta Vacinação
ENTRE RIOS DO SUL,RS,4,Baixa Vacinação
PAULO FRONTIN,PR,26,Baixa Vacinação
TRAJANO DE MORAES,RJ,13,Baixa Vacinação
MARAA,AM,4,Baixa Vacinação
ITAMOGI,MG,632,Alta Vacinação
SAO VALERIO DO SUL,RS,3,Baixa Vacinação
PIACATU,SP,3070,Alta Vacinação
SAO MARTINHO,SC,5,Baixa Vacinação
SENADOR GEORGINO AVELINO,RN,17,Baixa Vacinação
COITE DO NOIA,AL,508,Alta Vacinação
PONTA PORA,MS,1228,Alta Vacinação
SANTO ANTONIO DO PALMA,RS,1,Baixa Vacinação
BARAO DE ANTONINA,SP,2918,Alta Vacinação
BOREBI,SP,1512,Alta Vacinação
SANTA FE DO SUL,SP,19486,Alta Vacinação
NOSSA SENHORA DO SOCORRO,SE,978,Alta Vacinação
RIO CRESPO,RO,16,Baixa Vacinação
PASSO DO SOBRADO,RS,2,Baixa Vacinação
IBIRA,SP,9783,Alta Vacinação
SAO PEDRO DA CIPA,MT,12,Baixa Vacinação
XAPURI,AC,14,Baixa Vacinação
IBITITA,BA,650,Alta Vacinação
ARAGUAINHA,MT,2,Baixa Vacinação
MOGI DAS CRUZES - SP,None,1,Baixa Vacinação
SANTA FE DE MINAS,MG,10,Baixa Vacinação
SANTA TEREZINHA,SC,6,Baixa Vacinação
BELO VALE,MG,24,Baixa Vacinação
SANTA TEREZA,RS,4,Baixa Vacinação
CAMARGO,RS,1,Baixa Vacinação
TAMBAU,SP,14788,Alta Vacinação
SERRA TALHADA,PE,1342,Alta Vacinação
PAULISTANA,PI,859,Alta Vacinação
FAINA,GO,6,Baixa Vacinação
UAUA,BA,1500,Alta Vacinação
COLINAS DO SUL,GO,4,Baixa Vacinação
MONTE AZUL PAULISTA,SP,12664,Alta Vacinação
PIRACURUCA,PI,766,Alta Vacinação
LIBERATO SALZANO,RS,12,Baixa Vacinação
TREMEDAL,BA,1583,Alta Vacinação
JACINTO MACHADO,SC,18,Baixa Vacinação
MONTES ALTOS,MA,23,Baixa Vacinação
GRAMADO DOS LOUREIROS,RS,3,Baixa Vacinação
OSCAR BRESSANE,SP,2045,Alta Vacinação
SANTA RITA DO TRIVELATO,MT,12,Baixa Vacinação
INHAMBUPE,BA,1123,Alta Vacinação
LAVRAS DA MANGABEIRA,CE,1024,Alta Vacinação
PESCARIA BRAVA,SC,23,Baixa Vacinação
ITABERABA,BA,1778,Alta Vacinação
SAO JOAO DO PARAISO,MA,12,Baixa Vacinação
NOVO CRUZEIRO,MG,1618,Alta Vacinação
TUPIRATINS,TO,6,Baixa Vacinação
SANTA CRUZ DE GOIAS,GO,9,Baixa Vacinação
ARAGUAINA,TO,758,Alta Vacinação
CAMACARI,BA,3650,Alta Vacinação
QUADRA,SP,2867,Alta Vacinação
BURITIRAMA,BA,905,Alta Vacinação
AGUAS MORNAS,SC,12,Baixa Vacinação
SAO PEDRO DO IGUACU,PR,22,Baixa Vacinação
ARACAJU,SE,5278,Alta Vacinação
MAGALHAES BARATA,PA,22,Baixa Vacinação
AREIAS,SP,2753,Alta Vacinação
TIMBAUBA DOS BATISTAS,RN,16,Baixa Vacinação
DELMIRO GOUVEIA,AL,1771,Alta Vacinação
APORA,BA,804,Alta Vacinação
TONANTINS,AM,7,Baixa Vacinação
LAGOA DOS PATOS,MG,21,Baixa Vacinação
ITATIBA DO SUL,RS,10,Baixa Vacinação
SAO MATEUS,ES,598,Alta Vacinação
SAO MIGUEL DA BOA VISTA,SC,9,Baixa Vacinação
OSASCO,SP,486330,Alta Vacinação
MARACAJA,SC,17,Baixa Vacinação
TOCANTINIA,TO,7,Baixa Vacinação
PINDAI,BA,550,Alta Vacinação
SAO BENTO DO TOCANTINS,TO,12,Baixa Vacinação
BARREIRINHA,AM,26,Baixa Vacinação
SANTA CRUZ DAS PALMEIRAS,SP,17992,Alta Vacinação
VARZEA GRANDE,MT,1205,Alta Vacinação
IBIRAPITANGA,BA,832,Alta Vacinação
SANTA ISABEL DO RIO NEGRO,AM,8,Baixa Vacinação
SAO SIMAO,SP,9603,Alta Vacinação
PASSA TEMPO,MG,20,Baixa Vacinação
FERREIRA GOMES,AP,12,Baixa Vacinação
MORRO REDONDO,RS,9,Baixa Vacinação
MORRINHOS DO SUL,RS,5,Baixa Vacinação
ATALAIA,AL,670,Alta Vacinação
MUTUNOPOLIS,GO,10,Baixa Vacinação
BARRA DO PIRAI,RJ,703,Alta Vacinação
SAO SALVADOR DO TOCANTINS,TO,1,Baixa Vacinação
EXTREMA,MG,5128,Alta Vacinação
NOVA LIMA,MG,595,Alta Vacinação
BENJAMIN CONSTANT,AM,19,Baixa Vacinação
NAZARE PAULISTA,SP,13321,Alta Vacinação
ARACATUBA,SP,112189,Alta Vacinação
EIRUNEPE,AM,15,Baixa Vacinação
ITATI,RS,2,Baixa Vacinação
CRUZEIRO,SP,50601,Alta Vacinação
FLORIANOPOLIS,SC,7935,Alta Vacinação
ITAGUAI,RJ,591,Alta Vacinação
CATENDE,PE,736,Alta Vacinação
MACEDONIA,SP,3259,Alta Vacinação
SILVES,AM,14,Baixa Vacinação
CORDILHEIRA ALTA,SC,6,Baixa Vacinação
VINHEDO,SP,46489,Alta Vacinação
PANELAS,PE,1223,Alta Vacinação
JACUPIRANGA,SP,10414,Alta Vacinação
JARDINOPOLIS,SC,5,Baixa Vacinação
ALTO ALEGRE,RR,7,Baixa Vacinação
NOVA COLINAS,MA,16,Baixa Vacinação
OBRERO,"",1,Baixa Vacinação
PARANA,TO,20,Baixa Vacinação
IATI,PE,728,Alta Vacinação
SAO SEBASTIAO DO PARAISO,MG,2859,Alta Vacinação
RECIFE,PE,12932,Alta Vacinação
JACARACI,BA,1105,Alta Vacinação
ROCHEDO DE MINAS,MG,11,Baixa Vacinação
Bengi,"",2,Baixa Vacinação
WENCESLAU GUIMARAES,BA,584,Alta Vacinação
IPEUNA,SP,2844,Alta Vacinação
UIRAPURU,GO,2,Baixa Vacinação
PAULICEIA,SP,5501,Alta Vacinação
SANTA MARIA DO TOCANTINS,TO,4,Baixa Vacinação
CAPIM BRANCO,MG,23,Baixa Vacinação
CUMARU DO NORTE,PA,7,Baixa Vacinação
NOVA BRASILANDIA,MT,15,Baixa Vacinação
IMIGRANTE,RS,7,Baixa Vacinação
ARAGUANA,TO,20,Baixa Vacinação
SALES OLIVEIRA,SP,8136,Alta Vacinação
RIO BRANCO,MT,18,Baixa Vacinação
SAPEACU,BA,533,Alta Vacinação
RIBEIRAO CORRENTE,SP,3802,Alta Vacinação
CAIBI,SC,21,Baixa Vacinação
VIRMOND,PR,14,Baixa Vacinação
ITAPETINGA,BA,1611,Alta Vacinação
LAGAMAR,MG,20,Baixa Vacinação
JUNDIAI,SP,299561,Alta Vacinação
ARACRUZ,ES,688,Alta Vacinação
TERRA ROXA - SP,None,1,Baixa Vacinação
CURRAIS,PI,14,Baixa Vacinação
GUARANI DAS MISSOES,RS,19,Baixa Vacinação
FERNAO,SP,2101,Alta Vacinação
APUCARANA,PR,1159,Alta Vacinação
PALMELO,GO,14,Baixa Vacinação
CALDAZINHA,GO,4,Baixa Vacinação
CATAS ALTAS DA NORUEGA,MG,7,Baixa Vacinação
LARANJAL PAULISTA,SP,16552,Alta Vacinação
QUARTEL GERAL,MG,7,Baixa Vacinação
BETANIA,PE,601,Alta Vacinação
CENTRO,None,2,Baixa Vacinação
CORONEL FABRICIANO,MG,645,Alta Vacinação
PALESTINA,SP,7294,Alta Vacinação
QUINTANA,SP,5440,Alta Vacinação
VALINHOS,SP,66926,Alta Vacinação
BREJO ALEGRE,SP,2083,Alta Vacinação
MUCAJAI,RR,19,Baixa Vacinação
TAQUARAL,SP,1959,Alta Vacinação
ITORORO,BA,910,Alta Vacinação
PONTE SERRADA,SC,16,Baixa Vacinação
UNIAO DO SUL,MT,18,Baixa Vacinação
MURIAE,MG,508,Alta Vacinação
OLINDA,PE,2306,Alta Vacinação
URU,SP,951,Alta Vacinação
PEDREGULHO,SP,12810,Alta Vacinação
BARRA BONITA,SP,24281,Alta Vacinação
beira,"",2,Baixa Vacinação
LAGOA SANTA,MG,520,Alta Vacinação
OLIMPIA,SP,31812,Alta Vacinação
LUIS EDUARDO MAGALHAES,BA,856,Alta Vacinação
CANTA,RR,12,Baixa Vacinação
BREJETUBA,ES,23,Baixa Vacinação
ARIQUEMES,RO,665,Alta Vacinação
ITOBI,SP,3971,Alta Vacinação
CHAVES,PA,12,Baixa Vacinação
TABAI,RS,3,Baixa Vacinação
BALNEARIO CAMBORIU,SC,1859,Alta Vacinação
VALE DO SOL,RS,8,Baixa Vacinação
URUCUCA,BA,648,Alta Vacinação
CARMO DO RIO CLARO,MG,545,Alta Vacinação
PIRANHAS,AL,628,Alta Vacinação
MAUA,SP,284737,Alta Vacinação
TANQUE NOVO,BA,570,Alta Vacinação
SOCORRO,SP,24963,Alta Vacinação
PALMEIRA D'OESTE,SP,7340,Alta Vacinação
CALDAS NOVAS,GO,1765,Alta Vacinação
QUILOMBO,SC,17,Baixa Vacinação
IPUEIRAS,CE,1224,Alta Vacinação
RESTINGA SECA,RS,11,Baixa Vacinação
TIRADENTES DO SUL,RS,2,Baixa Vacinação
IRECE,BA,1389,Alta Vacinação
PROTASIO ALVES,RS,3,Baixa Vacinação
QUINZE DE NOVEMBRO,RS,5,Baixa Vacinação
MAREMA,SC,2,Baixa Vacinação
SIMOLANDIA,GO,7,Baixa Vacinação
PRADOPOLIS,SP,11186,Alta Vacinação
FRANCA,SP,185008,Alta Vacinação
RIACHO DA CRUZ,RN,24,Baixa Vacinação
ROSEIRA,SP,7699,Alta Vacinação
JAMBEIRO,SP,3544,Alta Vacinação
VARZEA ALEGRE,CE,1024,Alta Vacinação
BARRA DO CHOCA,BA,1561,Alta Vacinação
SAO VALENTIM,RS,6,Baixa Vacinação
VARGEM GRANDE DO SUL,SP,25333,Alta Vacinação
PEIXE-BOI,PA,24,Baixa Vacinação
JUNQUEIRO,AL,615,Alta Vacinação
ITAGI,BA,884,Alta Vacinação
TUIUTI,SP,5018,Alta Vacinação
ARTUR NOGUEIRA,None,1,Baixa Vacinação
DOUTOR PEDRINHO,SC,11,Baixa Vacinação
CORUMBIARA,RO,25,Baixa Vacinação
MANICORE,AM,17,Baixa Vacinação
AMPARO,SP,43548,Alta Vacinação
OROBO,PE,565,Alta Vacinação
SANTA ELENA,"",1,Baixa Vacinação
PERITIBA,SC,9,Baixa Vacinação
MORUNGABA,SP,6960,Alta Vacinação
NOVO MACHADO,RS,1,Baixa Vacinação
AURIFLAMA,SP,7480,Alta Vacinação
NOVA ROMA,GO,4,Baixa Vacinação
CACHOEIRA DE GOIAS,GO,5,Baixa Vacinação
JORDAO,AC,7,Baixa Vacinação
NOVA CANDELARIA,RS,3,Baixa Vacinação
ALIANCA DO TOCANTINS,TO,22,Baixa Vacinação
CASCALHO RICO,MG,17,Baixa Vacinação
QUATRO PONTES,PR,24,Baixa Vacinação
ESTRELA D'OESTE,SP,8127,Alta Vacinação
SALETE,SC,17,Baixa Vacinação
BONFIM,MG,20,Baixa Vacinação
BOM JESUS,RS,13,Baixa Vacinação
FLOR DO SERTAO,SC,7,Baixa Vacinação
PASSAGEM,RN,9,Baixa Vacinação
CABECEIRAS,GO,14,Baixa Vacinação
BOA ESPERANCA DO IGUACU,PR,3,Baixa Vacinação
PEDRO OSORIO,RS,8,Baixa Vacinação
LORETO,MA,16,Baixa Vacinação
URANDI,BA,602,Alta Vacinação
TRAIPU,AL,991,Alta Vacinação
JAUPACI,GO,14,Baixa Vacinação
TAMBORIL,CE,926,Alta Vacinação
MONTIVIDIU DO NORTE,GO,14,Baixa Vacinação
MUANA,PA,16,Baixa Vacinação
CRISTAL,RS,5,Baixa Vacinação
SANTA CARMEM,MT,10,Baixa Vacinação
SUMARE,SP,149095,Alta Vacinação
JOIA,RS,1,Baixa Vacinação
MACEIO,AL,9526,Alta Vacinação
RIBEIRO GONCALVES,PI,16,Baixa Vacinação
MONTE SIAO,MG,1754,Alta Vacinação
Monbi,SP,1,Baixa Vacinação
NOVO ORIENTE,CE,1283,Alta Vacinação
MIRANTE DO PARANAPANEMA,SP,11602,Alta Vacinação
LUISBURGO,MG,17,Baixa Vacinação
PITANGUEIRAS,SP,23107,Alta Vacinação
SANTA SALETE,SP,1459,Alta Vacinação
NOVA SERRANA,MG,719,Alta Vacinação
MULUNGU DO MORRO,BA,758,Alta Vacinação
MATOS COSTA,SC,13,Baixa Vacinação
SALVATERRA,PA,21,Baixa Vacinação
RESSAQUINHA,MG,17,Baixa Vacinação
CURRAL DE CIMA,PB,12,Baixa Vacinação
PETROLANDIA,SC,15,Baixa Vacinação
MUNICIPIO IGNORADO - SP,SP,24,Baixa Vacinação
GOVERNADOR DIX-SEPT ROSADO,RN,26,Baixa Vacinação
IPIRA,SC,12,Baixa Vacinação
ESTRELA DO NORTE,SP,2120,Alta Vacinação
HOLAMBRA,SP,6594,Alta Vacinação
RIBEIRAO,PE,717,Alta Vacinação
PUGMIL,TO,10,Baixa Vacinação
HERVAL,RS,2,Baixa Vacinação
GOIANIA,GO,8592,Alta Vacinação
CARAUBAS,PB,20,Baixa Vacinação
ciudad del este,"",1,Baixa Vacinação
GUARACAI,SP,4842,Alta Vacinação
CAMPINA GRANDE DO SUL,PR,504,Alta Vacinação
OURO FINO,MG,1073,Alta Vacinação
TORIXOREU,MT,15,Baixa Vacinação
PILAO ARCADO,BA,1101,Alta Vacinação
RIACHO DE SANTANA,BA,1065,Alta Vacinação
CAPIVARI,SP,30837,Alta Vacinação
IBICUI,BA,879,Alta Vacinação
MARACAI,SP,8178,Alta Vacinação
CAIBATE,RS,7,Baixa Vacinação
SABINO,SP,3968,Alta Vacinação
VOLTA REDONDA,RJ,3504,Alta Vacinação
PEDRINHAS PAULISTA,SP,2101,Alta Vacinação
BANDEIRANTES DO TOCANTINS,TO,5,Baixa Vacinação
JOANOPOLIS,SP,7793,Alta Vacinação
SEDE NOVA,RS,6,Baixa Vacinação
MACAUBAS,BA,2089,Alta Vacinação
EMBAUBA,SP,1515,Alta Vacinação
ITAPURA,SP,2680,Alta Vacinação
MOCOCA,None,1,Baixa Vacinação
CAMPINACU,GO,17,Baixa Vacinação
MARIPA DE MINAS,MG,21,Baixa Vacinação
AMERICANA,SP,140493,Alta Vacinação
TAUA,CE,1822,Alta Vacinação
ENCRUZILHADA DO SUL,RS,26,Baixa Vacinação
ESPIRITO SANTO DO TURVO,SP,2544,Alta Vacinação
CATALAO,GO,1202,Alta Vacinação
MONTE CASTELO,SP,2902,Alta Vacinação
ROSARIO DA LIMEIRA,MG,15,Baixa Vacinação
BRASIL,"",1,Baixa Vacinação
LAJEADO GRANDE,SC,3,Baixa Vacinação
CONCEICAO DO COITE,BA,722,Alta Vacinação
PEDRA PRETA,RN,1,Baixa Vacinação
JAGUAQUARA,BA,1692,Alta Vacinação
CORONEL BARROS,RS,4,Baixa Vacinação
SAO JOSE DO POVO,MT,15,Baixa Vacinação
JAU,SP,78719,Alta Vacinação
ARCOVERDE,PE,1137,Alta Vacinação
JUNQUEIROPOLIS,SP,14321,Alta Vacinação
MAIRIPORA,"",1,Baixa Vacinação
ENGENHO VELHO,RS,10,Baixa Vacinação
PEDERNEIRAS,SP,25133,Alta Vacinação
IBAITI,PR,558,Alta Vacinação
ALVARAES,AM,13,Baixa Vacinação
